iter	Passed	Remaining
0	2030	200972
1	4036	197811
2	6835	221017
3	9601	230433
4	11173	212288
5	13376	209559
6	16273	216201
7	19125	219940
8	22163	224097
9	24831	223482
10	27530	222743
11	30051	220376
12	32944	220477
13	35522	218209
14	38040	215565
15	40839	214406
16	44049	215065
17	46542	212026
18	49418	210677
19	52510	210042
20	55353	208232
21	58394	207035
22	60742	203354
23	63692	201692
24	68261	204785
25	71372	203137
26	74140	200453
27	76971	197926
28	79715	195166
29	82638	192823
30	85453	190202
31	88226	187480
32	90819	184390
33	93592	181678
34	96127	178521
35	98630	175343
36	101247	172393
37	104153	169934
38	107094	167506
39	110012	165018
40	112406	161755
41	115607	159647
42	118352	156886
43	121079	154100
44	124534	152208
45	127418	149578
46	130114	146724
47	133009	144093
48	135682	141221
49	138077	138077
50	141040	135509
51	143602	132556
52	146308	129745
53	148951	126884
54	151844	124236
55	154717	121563
56	157520	118831
57	160414	116162
58	163145	113372
59	165773	110515
60	168740	107883
61	170935	104766
62	173271	101762
63	176021	99012
64	178700	96223
65	181492	93496
66	184140	90696
67	186849	87929
68	189527	85149
69	192201	82372
70	195088	79683
71	197627	76855
72	200088	74005
73	202623	71191
74	205472	68490
75	208314	65783
76	211065	63045
77	213731	60283
78	216458	57539
79	219131	54782
80	221860	52041
81	224661	49316
82	227742	46646
83	230556	43915
84	232975	41113
85	236036	38424
86	238099	35578
87	240792	32835
88	243717	30122
89	246445	27382
90	249152	24641
91	251475	21867
92	254269	19138
93	257270	16421
94	260116	13690
95	262646	10943
96	265399	8208
97	268105	5471
98	270505	2732
99	272612	0
