iter	Passed	Remaining
0	239	23716
1	242	11893
2	516	16689
3	777	18663
4	821	15608
5	1098	17202
6	1360	18076
7	1620	18634
8	1878	18993
9	2141	19277
10	2425	19626
11	2694	19762
12	2961	19817
13	3234	19869
14	3585	20316
15	3980	20897
16	4253	20767
17	4278	19489
18	4554	19414
19	4826	19306
20	5087	19139
21	5351	18972
22	5633	18860
23	5919	18744
24	6181	18544
25	6423	18280
26	6684	18071
27	6958	17893
28	7219	17674
29	7477	17446
30	7720	17183
31	7987	16974
32	8259	16769
33	8534	16566
34	8800	16344
35	9074	16133
36	9407	16017
37	9768	15937
38	10044	15710
39	10328	15492
40	10620	15282
41	10887	15034
42	11151	14782
43	11444	14565
44	11758	14371
45	12028	14119
46	12285	13854
47	12594	13644
48	12934	13462
49	13237	13237
50	13522	12992
51	13819	12756
52	14169	12565
53	14491	12344
54	14777	12090
55	15085	11852
56	15415	11629
57	15729	11390
58	16031	11140
59	16334	10889
60	16651	10645
61	16944	10385
62	17230	10119
63	17540	9866
64	17547	9448
65	17842	9191
66	18093	8911
67	18137	8535
68	18402	8267
69	18700	8014
70	18990	7756
71	19265	7492
72	19543	7228
73	19836	6969
74	20137	6712
75	20423	6449
76	20695	6181
77	20969	5914
78	21297	5661
79	21612	5403
80	21913	5140
81	21988	4826
82	22294	4566
83	22625	4309
84	22925	4045
85	23199	3776
86	23499	3511
87	23773	3241
88	24022	2969
89	24277	2697
90	24553	2428
91	24818	2158
92	25060	1886
93	25330	1616
94	25595	1347
95	25859	1077
96	26144	808
97	26400	538
98	26667	269
99	26939	0
